site,year,georegion,season,num_plots_sampled,DERIMB,EVATRO,HENSPP,MEDAEQ,ORTKOE,PISOCH,PYCHEL,SOLSPP,ASTSPP,LETNAN,PATMIN,PISBRE,PISGIG
Kukak Bay,2009,AK Prince William Sound,Summer,1,1,5,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2010,AK Prince William Sound,Summer,1,1,3,0,0,0,0,4,0,0,0,0,0,0
Kukak Bay,2012,AK Prince William Sound,Summer,1,0,11,0,0,0,0,1,0,0,0,0,0,0
Kukak Bay,2013,AK Prince William Sound,Summer,1,2,1,0,0,0,0,1,0,0,0,0,0,0
Kukak Bay,2014,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2015,AK Prince William Sound,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Kukak Bay,2016,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2017,AK Prince William Sound,Summer,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2018,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2019,AK Prince William Sound,Summer,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kukak Bay,2021,AK Prince William Sound,Summer,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Kaflia Bay,2009,AK Prince William Sound,Summer,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Kaflia Bay,2010,AK Prince William Sound,Summer,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Kaflia Bay,2012,AK Prince William Sound,Summer,1,0,7,0,0,0,0,2,0,0,0,0,0,0
Kaflia Bay,2013,AK Prince William Sound,Summer,1,0,9,1,0,0,0,0,0,0,0,0,0,0
Kaflia Bay,2014,AK Prince William Sound,Summer,1,1,1,1,0,0,0,3,0,0,0,0,0,0
Kaflia Bay,2015,AK Prince William Sound,Summer,1,0,1,0,0,0,1,2,2,0,0,0,0,0
Kaflia Bay,2016,AK Prince William Sound,Summer,1,0,0,1,0,0,0,17,0,0,0,0,0,0
Kaflia Bay,2017,AK Prince William Sound,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaflia Bay,2018,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaflia Bay,2019,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaflia Bay,2021,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinak Bay,2009,AK Prince William Sound,Summer,1,0,5,0,0,0,0,14,0,0,0,0,0,0
Kinak Bay,2010,AK Prince William Sound,Summer,1,4,7,0,0,0,0,15,0,0,0,0,0,0
Kinak Bay,2012,AK Prince William Sound,Summer,1,0,28,0,0,0,0,24,0,0,0,0,0,0
Kinak Bay,2013,AK Prince William Sound,Summer,1,1,16,0,0,0,0,2,0,0,0,0,0,0
Kinak Bay,2014,AK Prince William Sound,Summer,1,10,0,0,0,0,0,27,0,0,0,0,0,0
Kinak Bay,2015,AK Prince William Sound,Summer,1,4,4,0,0,0,0,17,0,0,0,0,0,0
Kinak Bay,2016,AK Prince William Sound,Summer,1,10,3,0,0,0,0,12,0,0,0,0,0,0
Kinak Bay,2017,AK Prince William Sound,Summer,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Kinak Bay,2018,AK Prince William Sound,Summer,1,7,3,0,0,0,0,0,0,0,0,0,0,0
Kinak Bay,2019,AK Prince William Sound,Summer,1,1,19,0,0,0,0,11,0,0,0,0,0,0
Kinak Bay,2021,AK Prince William Sound,Summer,1,1,107,0,0,1,0,21,0,0,0,0,0,0
Amalik Bay,2009,AK Prince William Sound,Summer,1,0,19,0,0,0,28,14,0,0,0,0,0,0
Amalik Bay,2010,AK Prince William Sound,Summer,1,0,12,0,0,0,33,4,0,0,0,0,0,0
Amalik Bay,2012,AK Prince William Sound,Summer,1,0,85,0,0,0,31,9,0,0,0,0,0,0
Amalik Bay,2013,AK Prince William Sound,Summer,1,0,76,0,0,0,25,3,0,0,0,0,0,0
Amalik Bay,2014,AK Prince William Sound,Summer,1,0,36,0,0,0,23,10,0,0,0,0,0,0
Amalik Bay,2015,AK Prince William Sound,Summer,1,1,36,0,0,3,14,14,0,0,0,0,0,0
Amalik Bay,2016,AK Prince William Sound,Summer,1,0,9,0,0,0,28,12,0,0,0,0,0,0
Amalik Bay,2017,AK Prince William Sound,Summer,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Amalik Bay,2018,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amalik Bay,2019,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amalik Bay,2021,AK Prince William Sound,Summer,1,0,1,0,0,0,72,0,0,0,0,0,0,0
Takli Island,2009,AK Prince William Sound,Summer,1,0,18,0,0,0,0,1,0,0,0,0,0,0
Takli Island,2010,AK Prince William Sound,Summer,1,0,43,0,0,0,0,0,0,0,0,0,0,0
Takli Island,2012,AK Prince William Sound,Summer,1,0,7,0,0,0,0,2,0,0,0,0,0,0
Takli Island,2013,AK Prince William Sound,Summer,1,0,15,0,0,0,0,1,0,0,0,0,0,0
Takli Island,2014,AK Prince William Sound,Summer,1,0,24,0,0,0,0,4,0,0,0,0,0,0
Takli Island,2015,AK Prince William Sound,Summer,1,0,60,0,0,0,0,3,0,0,0,0,0,0
Takli Island,2016,AK Prince William Sound,Summer,1,0,3,0,0,0,27,7,0,0,0,0,0,0
Takli Island,2017,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Takli Island,2018,AK Prince William Sound,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Takli Island,2019,AK Prince William Sound,Summer,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Takli Island,2021,AK Prince William Sound,Summer,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Aialik Bay,2009,AK Kenai Fjords,Summer,1,18,0,0,0,0,0,17,0,0,0,0,0,0
Aialik Bay,2010,AK Kenai Fjords,Summer,1,34,2,0,0,0,3,36,0,0,0,0,0,0
Aialik Bay,2011,AK Kenai Fjords,Summer,1,38,0,0,0,0,2,13,0,0,0,0,0,0
Aialik Bay,2012,AK Kenai Fjords,Summer,1,23,0,0,0,0,2,20,0,0,0,0,0,0
Aialik Bay,2013,AK Kenai Fjords,Summer,1,27,0,0,0,0,0,15,0,0,0,0,0,0
Aialik Bay,2014,AK Kenai Fjords,Summer,1,37,0,0,0,0,4,9,0,0,0,0,0,0
Aialik Bay,2015,AK Kenai Fjords,Summer,1,16,1,0,0,0,2,3,0,0,0,0,0,0
Aialik Bay,2016,AK Kenai Fjords,Summer,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Aialik Bay,2017,AK Kenai Fjords,Summer,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Aialik Bay,2018,AK Kenai Fjords,Summer,1,8,2,0,0,0,5,2,0,0,0,0,0,0
Aialik Bay,2019,AK Kenai Fjords,Summer,1,3,0,0,0,0,2,5,0,0,0,0,0,0
Aialik Bay,2020,AK Kenai Fjords,Summer,1,103,0,0,0,0,0,1,0,0,0,0,0,0
Aialik Bay,2021,AK Kenai Fjords,Summer,1,12,0,0,0,0,3,0,0,0,0,0,0,0
McCarty Fjord,2009,AK Kenai Fjords,Summer,1,8,44,0,0,0,65,7,0,0,0,0,0,0
McCarty Fjord,2010,AK Kenai Fjords,Summer,1,15,0,1,0,2,77,18,1,0,0,0,0,0
McCarty Fjord,2011,AK Kenai Fjords,Summer,1,21,0,0,0,1,36,3,0,0,0,0,0,0
McCarty Fjord,2012,AK Kenai Fjords,Summer,1,33,1,1,0,5,87,16,1,0,0,0,0,0
McCarty Fjord,2013,AK Kenai Fjords,Summer,1,43,2,8,0,6,56,21,1,0,0,0,0,0
McCarty Fjord,2014,AK Kenai Fjords,Summer,1,19,0,0,0,6,100,8,0,0,0,0,0,0
McCarty Fjord,2015,AK Kenai Fjords,Summer,1,17,0,2,0,0,3,22,0,0,0,0,0,0
McCarty Fjord,2016,AK Kenai Fjords,Summer,1,5,0,0,0,0,10,0,0,0,0,0,0,0
McCarty Fjord,2017,AK Kenai Fjords,Summer,1,9,0,0,0,0,13,0,0,0,0,0,0,0
McCarty Fjord,2018,AK Kenai Fjords,Summer,1,23,0,0,0,0,26,2,0,0,0,0,0,0
McCarty Fjord,2019,AK Kenai Fjords,Summer,1,13,8,1,0,0,32,0,0,0,0,0,0,0
McCarty Fjord,2021,AK Kenai Fjords,Summer,1,8,4,0,0,0,17,1,0,0,0,0,0,0
Nuka Bay,2009,AK Kenai Fjords,Summer,1,0,0,0,0,0,51,0,0,0,0,0,0,0
Nuka Bay,2010,AK Kenai Fjords,Summer,1,2,0,0,0,0,48,0,0,0,0,0,0,0
Nuka Bay,2011,AK Kenai Fjords,Summer,1,0,0,0,0,0,53,0,0,0,0,0,0,0
Nuka Bay,2012,AK Kenai Fjords,Summer,1,4,0,0,0,0,45,0,0,0,0,0,0,0
Nuka Bay,2013,AK Kenai Fjords,Summer,1,2,0,1,0,0,15,0,0,0,0,0,0,0
Nuka Bay,2014,AK Kenai Fjords,Summer,1,4,0,0,0,0,60,0,0,0,0,0,0,0
Nuka Bay,2015,AK Kenai Fjords,Summer,1,0,0,0,0,0,48,0,0,0,0,0,0,0
Nuka Bay,2016,AK Kenai Fjords,Summer,1,0,0,0,0,0,16,0,0,0,0,0,0,0
Nuka Bay,2017,AK Kenai Fjords,Summer,1,0,0,0,0,0,35,0,0,0,0,0,0,0
Nuka Bay,2018,AK Kenai Fjords,Summer,1,0,0,0,0,0,24,0,0,0,0,0,0,0
Nuka Bay,2019,AK Kenai Fjords,Summer,1,0,0,0,0,0,76,0,0,0,0,0,0,0
Nuka Passage,2009,AK Kenai Fjords,Summer,1,0,0,0,0,0,2,9,0,0,0,0,0,0
Nuka Passage,2010,AK Kenai Fjords,Summer,1,0,2,0,0,0,18,5,0,0,0,0,0,0
Nuka Passage,2011,AK Kenai Fjords,Summer,1,0,2,0,0,0,15,13,0,0,0,0,0,0
Nuka Passage,2012,AK Kenai Fjords,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Nuka Passage,2013,AK Kenai Fjords,Summer,1,2,0,2,0,0,0,11,0,0,0,0,0,0
Nuka Passage,2014,AK Kenai Fjords,Summer,1,2,2,3,0,0,1,20,0,0,0,0,0,0
Nuka Passage,2015,AK Kenai Fjords,Summer,1,0,0,1,0,0,2,5,0,0,0,0,0,0
Nuka Passage,2016,AK Kenai Fjords,Summer,1,0,0,0,0,0,5,0,0,0,0,0,0,0
