Site_Code,Site_Name,Sample_Date,Year_Sampled,Quadrat_Num,Elevation,Species_Name,Percent_Cover
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Balanus / Semibalanus sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),bare substrate,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),barnacle spat,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Devalerea callophyloides,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Fucus distichus,51.02040816
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Halosaccion glandiforme,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Neorhodomela oregona,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Polyostea bipinnata,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Pylaiella littoralis,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Mid (0.5 m MLLW),Ulva sp.,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Acrosiphonia sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Balanus glandula,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),bare substrate,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),barnacle spat,28.57142857
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Chthamalus dalli,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Fucus distichus,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Gloiopeltis furcata,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Mytilus trossulus,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Neorhodomela oregona,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Polysiphonia sp.,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,1,Upper (1.5 m MLLW),Scytosiphon lomentaria,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Alaria marginata,51.02040816
